tri_facility.TRI_FACILITY_ID,tri_facility.FACILITY_NAME,tri_facility.STREET_ADDRESS,tri_facility.CITY_NAME,tri_facility.COUNTY_NAME,tri_facility.STATE_ABBR,tri_facility.ZIP_CODE,tri_facility.PREF_LATITUDE,tri_facility.PREF_LONGITUDE
48118HTCHS570CL,HATCH STAMPING CO,635 EAST INDUSTRIAL DR,CHELSEA,WASHTENAW,MI,481181599,42.323611,84.031111
08863HTCCRKINGG,LANXESS US SOLUTIONS INC (FORMERLY CHEMTURA),1020 KING GEORGES POST RD,FORDS,MIDDLESEX,NJ,8863,40.520833,74.334722
14150NCNRG700GR,NOCO ENERGY CORP,700 GRAND ISLAND BLVD,TONAWANDA,ERIE,NY,14150,,
63629WSTFRHWYKK,WESTFORK MINE/MILL,HWY KK,BUNKER,REYNOLDS,MO,63629,,
37211KHLMD414HA,KOHL & MADDEN,414 HARDING IND DR,NASHVILLE,DAVIDSON,TN,37211,,
72764HKNCN1200S,BALL METAL FOOD CONTAINER LLC,1200 S CRUTCHER ST,SPRINGDALE,WASHINGTON,AR,72764,36.180278,94.130556
47202HKNCN2576W,BALL METAL FOOD CONTAINER CORP,2576 NORCROSS DR,COLUMBUS,BARTHOLOMEW,IN,472018844,39.1375,85.949444
60635HCKDC6550W,HEICK DIE CASTING CORP,6550 W DIVERSEY AVE,CHICAGO,COOK,IL,606352392,41.9308,87.789664
18327HCDVSROUTE,VERTELLUS DWG LLC,231 MAIN ST,DELAWARE WATER GAP,MONROE,PA,18327,40.995,75.150556
92501DVLDN930NO,DOUBLE D ENTERPRISES INC,930 N MAIN ST,RIVERSIDE,RIVERSIDE,CA,92501,,
29631MLLKNPOBOX,MILLIKEN & CO DEFORGE PLANT,HWY 123 BYPASS,CLEMSON,PICKENS,SC,29631,34.688889,82.854167
38852MNTCH27CR3,MONOTECH OF MISSISSIPPI-IUKA,27 CR 342,IUKA,TISHOMINGO,MS,38852,,
72015RNC001007V,RINECO,1007 VULCAN RD.- HASKELL,BENTON,SALINE,AR,72015,,
65205CLMBM1501B,COLUMBIA MUNICIPAL POWER PLANT,1501 BUS LOOP 70 E,COLUMBIA,BOONE,MO,65201,,
70062MTVNT143FI,MOTIVA KENNER TERMINAL,143 FIREHO US E DR,KENNER,JEFFERSON PARISH,LA,70062,,
38802CTNNDPOBOX,LANE FURNITURE IND VERONA,5380 HWY 145 S,TUPELO,LEE,MS,38802,34.172222,88.716667
